job_id,run_time,config,value
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.dataset_config,datasets/bat/prompts.json
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.database_configs,['datasets/bat/db_configs/sqlite.yaml']
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.dialects,['sqlite']
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.query_types,['dql']
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.model_config,datasets/model_configs/gemini_2.5_pro_model.yaml
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.prompt_generator,SQLGenBasePromptGenerator
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.setup_directory,datasets/bat/setup
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.scorers.exact_match,
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.scorers.llmrater.model_config,datasets/model_configs/gemini_2.5_pro_model.yaml
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.scorers.returned_sql,
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.scorers.set_match,
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.scorers.executable_sql,
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.reporting.csv.output_directory,results
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,experiment_config.orchestrator,oneshot
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,model_config.generator,gcp_vertex_gemini
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,model_config.vertex_model,gemini-2.5-pro
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,model_config.base_prompt,
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,model_config.execs_per_minute,5
07d3798a-d3a9-4020-a206-8711d7c22e6a,2026-04-30 20:27:23.937146,db_configs.sqlite,"[{'db_type': 'sqlite', 'dialect': 'sqlite', 'database_name': 'db_blog', 'database_path': 'db_connections/bat/', 'max_executions_per_minute': 180}]"
